abacus	ábaco
abscess	absceso
acceptance	aceptación
abandonment	abandono
abscissa	abscisa
access	acceso
accessory	accesorio
abbreviation	abreviación
accident	accidente
abdication	abdicación
abdomen	abdomen
abstraction	abstracción
abundance	abundancia
abuse	abuso
acre	acre
abyss	abismo
academy	academia
action	acción
acceleration	aceleración
activation	activación
accent	acento
abrasion	abrasión
actor	actor
actress	actriz
aluminum	aluminio
adult	adulto
ambulance	ambulancia
addition	adición
adversity	adversidad
angle	ángulo
animal	animal
antioxidant	andioxidante
adhesion	adhesión
agriculture	agricultura
adhesive	adhesivo
air	aire
arabic	árabe
algebra	álgebra
archaeology	arqueología
argument	argumento
arrogance	arrogancia
arsenic	arsénico
adolescence	adolescencia
artist	artista
astigmatism	astigmatismo
astronomer	astrónomo
attention	atención
aspirin	aspirina
astronomy	astronomía
attitude	actitud
asymmetry	asimetría
attraction	atracción
assistance	asistencia
assistant	asistente
athlete	atleta
audience	audiencia
auditorium	auditorio
atmosphere	atmósfera
asteroid	asteroide
atom	átomo
asthma	asma
august	agosto
authorization	autorización
automobile	automóvil
author	autor
authority	autoridad
balance	balanza
balcony	balcón
basketball	básquetbol
battle	batalla
bank	banco
bayonet	bayoneta
banker	banquero
biography	biografía
biology	biología
bicycle	bicicleta
blouse	blusa
bomb	bomba
border	borde
broccoli	brócoli
cable	cable
cement	cemento
cactus	cactus
census	censo
center	centro
calcium	calcio
capacity	capacidad
centimeter	centímetro
cape	capa
calculator	calculadora
calendar	calendario
captain	capitán
carbon	carbono
chaos	caos
calvary	calvario
camel	camello
canary	canario
case	caso
chlorine	cloro
chocolate	chocolate
chromium	cromo
cavity	cavidad
cancer	cáncer
candidate	candidato
celebration	celebración
collection	colección
color	color
column	columna
combination	combinación
class	clase
cognate	cognado
conjunction	conjunción
composition	composición
condition	condición
connection	conexión
cone	cono
consequence	consecuencia
conservation	conservación
computer	computadora
conflict	conflicto
concept	concepto
concrete	concreto
construction	construcción
context	contexto
converse	converso
contract	contracto
convict	convicto
course	curso
covariance	covarianza
contrast	contraste
copy	copia
contribution	contribución
curve	curva
cycle	ciclo
cylinder	cilindro
cube	cubo
curvature	curvatura
debate	debate
decade	década
decree	decreto
denominator	denominador
decagon	decágono
deduction	deducción
density	densidad
department	departamento
defect	defecto
deciliter	decilitro
deficit	déficit
decimeter	decímetro
decision	decisión
digit	dígito
dimension	dimensión
detail	detalle
distortion	distorsión
distribution	distribución
direction	dirección
diagram	diagrama
dialect	dialecto
disc	disco
district	distrito
diameter	diámetro
discipline	disciplina
dictionary	diccionario
difference	diferencia
dividend	dividendo
discriminant	discriminante
division	división
distance	distancia
divisor	divisor
difficulty	dificultad
doctrine	doctrina
dollar	dólar
duplicate	duplicado
document	documento
dozen	docena
echo	eco
eclipse	eclipse
electricity	electricidad
ellipse	elipse
education	educación
electrode	electrodo
effect	efecto
embargo	embargo
emigrant	emigrante
emphasis	énfasis
empire	imperio
enemy	enemigo
energy	energía
elegance	elegancia
entrance	entrada
element	elemento
election	elección
envy	envidia
error	error
episode	episodio
etymology	etimología
esophagus	esófago
event	evento
expert	experto
exercise	ejercicio
excess	exceso
experiment	experimento
extension	extensión
fraction	fracción
factor	factor
fragment	fragmento
frequency	frecuencia
fruit	fruta
function	función
flute	flauta
focus	foco
form	forma
fame	fama
family	familia
format	formato
future	futuro
formula	fórmula
golf	golf
garage	garaje
gram	gramo
gesture	gesto
gasoline	gasolina
gratitude	gratitud
globe	globo
guitar	guitarra
habitat	hábitat
hamburger	hamburguesa
horror	horror
helium	helio
human	humano
hurricane	huracán
hormone	hormona
idea	idea
identity	identidad
idiot	idiota
immersion	inmersión
illusion	ilusión
image	imagen
instant	instante
instrument	instrumento
importance	importancia
interval	intervalo
intestine	intestino
inverse	inverso
interior	interior
jupiter	júpiter
justice	justicia
june	junio
karate	kárate
kilogram	kilogramo
liberty	libertad
laboratory	laboratorio
line	línea
literature	literatura
logic	lógica
latitude	latitud
margin	margen
minute	minuto
mandate	mandato
moment	momento
manuscript	manuscrito
music	música
map	mapa
medal	medalla
name	nombre
novel	novela
nation	nación
nationality	nacionalidad
obedience	obediencia
object	objeto
objective	objetivo
ocean	océano
oxygen	oxígeno
palace	palacio
piano	piano
pigment	pigmento
plant	planta
photography	fotografía
pluto	plutón
poem	poema
patience	paciencia
patio	patio
pause	pausa
pearl	perla
problem	problema
psychology	psicología
program	programa
punctuation	puntuación
president	presidente
propaganda	propaganda
price	precio
ray	rayo
radio	radio
reality	realidad
ranch	rancho
reason	razón
rebel	rebelde
religion	religión
salad	ensalada
salary	salario
security	seguridad
saliva	saliva
sediment	sedimento
site	sitio
saturn	saturno
scene	escena
science	ciencia
sign	signo
sphere	esfera
second	segundo
silence	silencio
spiral	espiral
secret	secreto
sect	secta
tractor	tractor
talent	talento
traffic	tráfico
theology	teología
tragedy	tragedia
thesis	tesis
train	tren
tiger	tigre
tariff	tarifa
tea	té
tobacco	tabaco
telephone	teléfono
tornado	tornado
temperature	temperatura
temple	templo
tourist	turista
trombone	trombón
tennis	tenis
tumor	tumor
trumpet	trompeta
tunnel	túnel
universe	universo
university	universidad
urgency	urgencia
vanity	vanidad
variety	variedad
victory	victoria
violence	violencia
vehicle	vehículo
vein	vena
violin	violín
virgin	virgen
verb	verbo
vanilla	vainilla
verse	verso
